 count |    mac_prefix     
-------+-------------------
    25 | 92:68:c3:00:00:00
    15 | d0:22:be:00:00:00
    11 | 5c:0a:5b:00:00:00
    10 | 48:5a:3f:00:00:00
    10 | 1c:99:4c:00:00:00
    10 | 5c:f8:a1:00:00:00
    10 | 34:23:ba:00:00:00
    10 | 40:f3:08:00:00:00
    10 | 34:a3:95:00:00:00
     9 | d4:f4:6f:00:00:00
     9 | 30:a8:db:00:00:00
     9 | 84:7a:88:00:00:00
     8 | 60:21:c0:00:00:00
     8 | 88:32:9b:00:00:00
     7 | 98:0d:2e:00:00:00
     7 | 10:a5:d0:00:00:00
     7 | cc:3a:61:00:00:00
     7 | f0:27:65:00:00:00
     7 | f0:cb:a1:00:00:00
     7 | f0:db:e2:00:00:00
     6 | a8:5b:78:00:00:00
     6 | 38:aa:3c:00:00:00
     6 | f0:f6:1c:00:00:00
     6 | c8:85:50:00:00:00
     6 | 44:d4:e0:00:00:00
     6 | 20:6e:9c:00:00:00
     6 | 30:75:12:00:00:00
     6 | 78:a3:e4:00:00:00
     6 | 7c:c5:37:00:00:00
     5 | 70:3e:ac:00:00:00
     5 | 78:7e:61:00:00:00
     5 | f0:24:75:00:00:00
     5 | 2c:8a:72:00:00:00
     5 | 84:38:38:00:00:00
     5 | b0:df:3a:00:00:00
     5 | 90:18:7c:00:00:00
     5 | 00:ee:bd:00:00:00
     4 | 80:ea:96:00:00:00
     4 | d8:bb:2c:00:00:00
     4 | 54:9f:13:00:00:00
     4 | 10:92:66:00:00:00
     4 | e8:8d:28:00:00:00
     4 | c8:e0:eb:00:00:00
     4 | 64:9a:be:00:00:00
     4 | 28:ba:b5:00:00:00
     4 | d8:9e:3f:00:00:00
     4 | cc:08:e0:00:00:00
     4 | c0:bd:d1:00:00:00
     4 | 20:62:74:00:00:00
     4 | 4c:7c:5f:00:00:00
     4 | 20:02:af:00:00:00
     4 | 40:a6:d9:00:00:00
     4 | 00:61:71:00:00:00
     4 | a0:b4:a5:00:00:00
     3 | 9c:3a:af:00:00:00
     3 | 9c:f3:87:00:00:00
     3 | 68:09:27:00:00:00
     3 | 8c:3a:e3:00:00:00
     3 | 44:d8:84:00:00:00
     3 | 02:ee:bd:00:00:00
     3 | d0:a6:37:00:00:00
     3 | 5c:95:ae:00:00:00
     3 | d4:8f:33:00:00:00
     3 | 1c:e6:2b:00:00:00
     3 | 68:05:71:00:00:00
     3 | 68:ae:20:00:00:00
     3 | b8:6c:e8:00:00:00
     3 | 04:f7:e4:00:00:00
     3 | 00:eb:2d:00:00:00
     3 | a4:c3:61:00:00:00
     3 | 44:6d:6c:00:00:00
     3 | 18:f6:43:00:00:00
     3 | 64:b9:e8:00:00:00
     3 | 20:a2:e4:00:00:00
     3 | a0:f4:50:00:00:00
     3 | 8c:00:6d:00:00:00
     3 | 6c:c2:6b:00:00:00
     3 | a8:fa:d8:00:00:00
     3 | a4:9a:58:00:00:00
     3 | d8:3c:69:00:00:00
     3 | 70:14:a6:00:00:00
     3 | 00:f4:b9:00:00:00
